SampleID,Sample Uni ID,Fish-Time-Site,Fish Species,Time-Site,Time,Site,Mass(g),d15N,d13C,N%,C%,C:N,Trophic level_reference,Trophic level,Fishery,Feeding habit 1,Feeding habit 2,Feeding habit 3,Feeding habit abbr,Feeding habit,Diet_reference,Kingdom,Phylum,Subphylum,Superclass,Class,Order,Suborder,Family,Subfamily,Genus,Species,Subspecies
1,Ostorhinchus fasciatus-Jan-South-1,Ostorhinchus fasciatus-Jan-South,Ostorhinchus fasciatus,Jan-South,Jan,South,1.042,14.02,-16.0512,13.4,43.18,3.22,3.85,3.54,Wild,Zoobenthivore,Carnivore,Level 4 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Apogonidae,Apogoninae,Ostorhinchus,Ostorhinchus fasciatus,
5,Ostorhinchus fasciatus-Jan-South-2,Ostorhinchus fasciatus-Jan-South,Ostorhinchus fasciatus,Jan-South,Jan,South,1.046,14.31,-16.4098,14.45,46.94,3.25,3.94,3.63,Wild,Zoobenthivore,Carnivore,Level 4 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Apogonidae,Apogoninae,Ostorhinchus,Ostorhinchus fasciatus,
6,Arnoglossus japonicus-Jan-South-1,Arnoglossus japonicus-Jan-South,Arnoglossus japonicus,Jan-South,Jan,South,1.059,11.492,-17.2409,13.32,44.27,3.32,3.11,2.73,Wild,Zoobenthivore/Piscivore,Carnivore,Level 1 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Bothidae,,Arnoglossus,Arnoglossus japonicus,
7,Arnoglossus japonicus-Jan-South-2,Arnoglossus japonicus-Jan-South,Arnoglossus japonicus,Jan-South,Jan,South,1.03,11.705,-17.222,13.89,45.83,3.3,3.17,2.8,Wild,Zoobenthivore/Piscivore,Carnivore,Level 1 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Bothidae,,Arnoglossus,Arnoglossus japonicus,
8,Arnoglossus japonicus-Jan-South-3,Arnoglossus japonicus-Jan-South,Arnoglossus japonicus,Jan-South,Jan,South,1.09,11.019,-17.3329,14.43,46.91,3.25,2.97,2.58,Wild,Zoobenthivore/Piscivore,Carnivore,Level 1 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Bothidae,,Arnoglossus,Arnoglossus japonicus,
9,Arnoglossus japonicus-Jan-South-4,Arnoglossus japonicus-Jan-South,Arnoglossus japonicus,Jan-South,Jan,South,1.017,11.697,-16.8968,13.5,43.57,3.23,3.17,2.8,Wild,Zoobenthivore/Piscivore,Carnivore,Level 1 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Bothidae,,Arnoglossus,Arnoglossus japonicus,
10,Arnoglossus japonicus-Jan-South-5,Arnoglossus japonicus-Jan-South,Arnoglossus japonicus,Jan-South,Jan,South,1.03,11.599,-17.0493,13.86,45.75,3.3,3.14,2.77,Wild,Zoobenthivore/Piscivore,Carnivore,Level 1 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Bothidae,,Arnoglossus,Arnoglossus japonicus,
11,Inegocia japonica-Jan-South-1,Inegocia japonica-Jan-South,Inegocia japonica,Jan-South,Jan,South,1.051,13.786,-16.0683,14.45,45.69,3.16,3.78,3.46,Wild,Zoobenthivore/Piscivore,Carnivore,Level 2 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Scorpaeniformes,Platycephaloidei,Platycephalidae,,Inegocia,Inegocia japonica,
13,Inegocia japonica-Jan-South-2,Inegocia japonica-Jan-South,Inegocia japonica,Jan-South,Jan,South,1.071,13.455,-15.8156,14.62,46.27,3.16,3.68,3.36,Wild,Zoobenthivore/Piscivore,Carnivore,Level 2 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Scorpaeniformes,Platycephaloidei,Platycephalidae,,Inegocia,Inegocia japonica,
14,Inegocia japonica-Jan-South-3,Inegocia japonica-Jan-South,Inegocia japonica,Jan-South,Jan,South,1.011,13.382,-15.999,14.47,46.15,3.19,3.66,3.33,Wild,Zoobenthivore/Piscivore,Carnivore,Level 2 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Scorpaeniformes,Platycephaloidei,Platycephalidae,,Inegocia,Inegocia japonica,
15,Inegocia japonica-Jan-South-4,Inegocia japonica-Jan-South,Inegocia japonica,Jan-South,Jan,South,1.024,13.181,-16.0869,14.75,46.32,3.14,3.6,3.27,Wild,Zoobenthivore/Piscivore,Carnivore,Level 2 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Scorpaeniformes,Platycephaloidei,Platycephalidae,,Inegocia,Inegocia japonica,
16,Johnius heterolepis-Jan-South-1,Johnius heterolepis-Jan-South,Johnius heterolepis,Jan-South,Jan,South,1.081,13.07,-16.9762,12.59,45.98,3.65,3.57,3.23,Wild,Zoobenthivore,Carnivore,Level 2 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sciaenidae,,Johnius,Johnius heterolepis,
18,Johnius heterolepis-Jan-South-2,Johnius heterolepis-Jan-South,Johnius heterolepis,Jan-South,Jan,South,1.016,12.688,-16.5921,13.9,47.55,3.42,3.46,3.11,Wild,Zoobenthivore,Carnivore,Level 2 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sciaenidae,,Johnius,Johnius heterolepis,
21,Nemipterus japonicus-Jan-South-1,Nemipterus japonicus-Jan-South,Nemipterus japonicus,Jan-South,Jan,South,1.024,14.546,-16.8689,12.76,45.45,3.56,4,3.7,Wild,Zoobenthivore/Piscivore,Carnivore,Level 3 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Nemipteridae,,Nemipterus,Nemipterus japonicus,
27,Parachaeturichthys polynema-Jan-South-1,Parachaeturichthys polynema-Jan-South,Parachaeturichthys polynema,Jan-South,Jan,South,1.031,12.85,-16.6228,14.42,45.89,3.18,3.51,3.16,Wild,Zooplanktivore/Zoobenthivore,Omnivore,Level 2 consumer,ZP/ZB,Zooplanktivore/Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Gobioidei,Gobiidae,Gobiinae,Parachaeturichthys,Parachaeturichthys polynema,
28,Parachaeturichthys polynema-Jan-South-2,Parachaeturichthys polynema-Jan-South,Parachaeturichthys polynema,Jan-South,Jan,South,1.061,13.074,-16.4941,14.03,44.48,3.17,3.57,3.24,Wild,Zooplanktivore/Zoobenthivore,Omnivore,Level 2 consumer,ZP/ZB,Zooplanktivore/Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Gobioidei,Gobiidae,Gobiinae,Parachaeturichthys,Parachaeturichthys polynema,
29,Parachaeturichthys polynema-Jan-South-3,Parachaeturichthys polynema-Jan-South,Parachaeturichthys polynema,Jan-South,Jan,South,1.038,12.973,-16.6145,14.19,45.5,3.21,3.54,3.2,Wild,Zooplanktivore/Zoobenthivore,Omnivore,Level 2 consumer,ZP/ZB,Zooplanktivore/Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Gobioidei,Gobiidae,Gobiinae,Parachaeturichthys,Parachaeturichthys polynema,
30,Parachaeturichthys polynema-Jan-South-4,Parachaeturichthys polynema-Jan-South,Parachaeturichthys polynema,Jan-South,Jan,South,1.017,12.95,-16.6519,14.56,46.51,3.19,3.54,3.2,Wild,Zooplanktivore/Zoobenthivore,Omnivore,Level 2 consumer,ZP/ZB,Zooplanktivore/Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Gobioidei,Gobiidae,Gobiinae,Parachaeturichthys,Parachaeturichthys polynema,
31,Pseudorhombus oligodon-Jan-South-1,Pseudorhombus oligodon-Jan-South,Pseudorhombus oligodon,Jan-South,Jan,South,1.03,13.776,-16.4267,14.39,47.32,3.29,3.78,3.46,Wild,Zoobenthivore/Piscivore,Carnivore,Level 4 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Paralichthyidae,,Pseudorhombus,Pseudorhombus oligodon,
32,Pseudorhombus oligodon-Jan-South-2,Pseudorhombus oligodon-Jan-South,Pseudorhombus oligodon,Jan-South,Jan,South,1.061,13.629,-16.3728,13.59,43.87,3.23,3.74,3.41,Wild,Zoobenthivore/Piscivore,Carnivore,Level 4 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Paralichthyidae,,Pseudorhombus,Pseudorhombus oligodon,
33,Pseudorhombus oligodon-Jan-South-3,Pseudorhombus oligodon-Jan-South,Pseudorhombus oligodon,Jan-South,Jan,South,1.034,14.188,-15.809,14.67,46.99,3.2,3.9,3.59,Wild,Zoobenthivore/Piscivore,Carnivore,Level 4 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Paralichthyidae,,Pseudorhombus,Pseudorhombus oligodon,
34,Pseudorhombus oligodon-Jan-South-4,Pseudorhombus oligodon-Jan-South,Pseudorhombus oligodon,Jan-South,Jan,South,1.033,13.662,-16.2283,14.63,46.65,3.19,3.74,3.42,Wild,Zoobenthivore/Piscivore,Carnivore,Level 4 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Paralichthyidae,,Pseudorhombus,Pseudorhombus oligodon,
35,Pseudorhombus oligodon-Jan-South-5,Pseudorhombus oligodon-Jan-South,Pseudorhombus oligodon,Jan-South,Jan,South,1.004,14.241,-15.8546,14.32,46.33,3.24,3.92,3.61,Wild,Zoobenthivore/Piscivore,Carnivore,Level 4 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Paralichthyidae,,Pseudorhombus,Pseudorhombus oligodon,
36,Siganus canaliculatus-Jan-South-1,Siganus canaliculatus-Jan-South,Siganus canaliculatus,Jan-South,Jan,South,1.031,12.358,-15.7329,14.01,45.83,3.27,3.36,3.01,Wild,Herbivore/Omnivore,Omnivore,Level 3 consumer,HV/OV,Herbivore/Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Acanthuroidei,Siganidae,,Siganus,Siganus canaliculatus,
37,Siganus canaliculatus-Jan-South-2,Siganus canaliculatus-Jan-South,Siganus canaliculatus,Jan-South,Jan,South,1.025,14.141,-14.0904,14.13,45.49,3.22,3.89,3.58,Wild,Herbivore/Omnivore,Omnivore,Level 3 consumer,HV/OV,Herbivore/Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Acanthuroidei,Siganidae,,Siganus,Siganus canaliculatus,
38,Siganus canaliculatus-Jan-South-3,Siganus canaliculatus-Jan-South,Siganus canaliculatus,Jan-South,Jan,South,1.046,14.707,-18.2865,10.29,51.41,5,4.05,3.76,Wild,Herbivore/Omnivore,Omnivore,Level 3 consumer,HV/OV,Herbivore/Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Acanthuroidei,Siganidae,,Siganus,Siganus canaliculatus,
39,Sillago sihama-Jan-South-1,Sillago sihama-Jan-South,Sillago sihama,Jan-South,Jan,South,1.004,14.623,-16.6433,14.1,45.1,3.2,4.03,3.73,Wild,Zoobenthivore,Carnivore,Level 3 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sillaginidae,,Sillago,Sillago sihama,
42,Sillago sihama-Jan-South-2,Sillago sihama-Jan-South,Sillago sihama,Jan-South,Jan,South,1.011,14.119,-15.0953,14.57,46.45,3.19,3.88,3.57,Wild,Zoobenthivore,Carnivore,Level 3 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sillaginidae,,Sillago,Sillago sihama,
45,Thryssa chefuensis-Jan-South-1,Thryssa chefuensis-Jan-South,Thryssa chefuensis,Jan-South,Jan,South,1.056,13.402,-18.8081,11.78,46.71,3.97,3.67,3.34,Wild,Zooplanktivore/Zoobenthivore,Omnivore,Level 3 consumer,ZP/ZB,Zooplanktivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Clupeiformes,Clupeoidei,Engraulidae,,Thryssa,Thryssa chefuensis,
46,Acanthopagrus schlegelii schlegelii-Mar-East-1,Acanthopagrus schlegelii schlegelii-Mar-East,Acanthopagrus schlegelii schlegelii,Mar-East,Mar,East,1.085,14.855,-16.0087,14.67,49.02,3.34,4.1,3.49,Wild,Zoobenthivore,Carnivore,Level 4 consumer,ZB,Carnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sparidae,,Acanthopagrus,Acanthopagrus schlegelii,Acanthopagrus schlegelii schlegelii
51,Ostorhinchus fasciatus-Mar-East-1,Ostorhinchus fasciatus-Mar-East,Ostorhinchus fasciatus,Mar-East,Mar,East,1.048,15.185,-16.715,14.94,47.53,3.18,4.19,3.59,Wild,Zoobenthivore,Carnivore,Level 4 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Apogonidae,Apogoninae,Ostorhinchus,Ostorhinchus fasciatus,
52,Ostorhinchus fasciatus-Mar-East-2,Ostorhinchus fasciatus-Mar-East,Ostorhinchus fasciatus,Mar-East,Mar,East,1.027,15.283,-16.2788,15.28,47.38,3.1,4.22,3.62,Wild,Zoobenthivore,Carnivore,Level 4 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Apogonidae,Apogoninae,Ostorhinchus,Ostorhinchus fasciatus,
53,Ostorhinchus fasciatus-Mar-East-3,Ostorhinchus fasciatus-Mar-East,Ostorhinchus fasciatus,Mar-East,Mar,East,1.076,14.954,-16.9678,14.71,44.88,3.05,4.12,3.52,Wild,Zoobenthivore,Carnivore,Level 4 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Apogonidae,Apogoninae,Ostorhinchus,Ostorhinchus fasciatus,
54,Ostorhinchus fasciatus-Mar-East-4,Ostorhinchus fasciatus-Mar-East,Ostorhinchus fasciatus,Mar-East,Mar,East,1.014,15.031,-16.8031,15.18,45.66,3.01,4.15,3.54,Wild,Zoobenthivore,Carnivore,Level 4 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Apogonidae,Apogoninae,Ostorhinchus,Ostorhinchus fasciatus,
55,Ostorhinchus fasciatus-Mar-East-5,Ostorhinchus fasciatus-Mar-East,Ostorhinchus fasciatus,Mar-East,Mar,East,1.08,14.999,-16.7985,20.95,29.44,1.41,4.14,3.53,Wild,Zoobenthivore,Carnivore,Level 4 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Apogonidae,Apogoninae,Ostorhinchus,Ostorhinchus fasciatus,
56,Arnoglossus japonicus-Mar-East-1,Arnoglossus japonicus-Mar-East,Arnoglossus japonicus,Mar-East,Mar,East,1.071,13.792,-17.2352,16.76,41.63,2.48,3.78,3.18,Wild,Zoobenthivore/Piscivore,Carnivore,Level 1 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Bothidae,,Arnoglossus,Arnoglossus japonicus,
57,Arnoglossus japonicus-Mar-East-2,Arnoglossus japonicus-Mar-East,Arnoglossus japonicus,Mar-East,Mar,East,1.069,13.463,-17.2913,14.97,47.6,3.18,3.69,3.08,Wild,Zoobenthivore/Piscivore,Carnivore,Level 1 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Bothidae,,Arnoglossus,Arnoglossus japonicus,
58,Arnoglossus japonicus-Mar-East-3,Arnoglossus japonicus-Mar-East,Arnoglossus japonicus,Mar-East,Mar,East,1.013,13.486,-17.2304,14.05,46.44,3.31,3.69,3.09,Wild,Zoobenthivore/Piscivore,Carnivore,Level 1 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Bothidae,,Arnoglossus,Arnoglossus japonicus,
59,Arnoglossus japonicus-Mar-East-4,Arnoglossus japonicus-Mar-East,Arnoglossus japonicus,Mar-East,Mar,East,1.069,13.329,-17.214,15.15,47.41,3.13,3.65,3.04,Wild,Zoobenthivore/Piscivore,Carnivore,Level 1 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Bothidae,,Arnoglossus,Arnoglossus japonicus,
60,Arnoglossus japonicus-Mar-East-5,Arnoglossus japonicus-Mar-East,Arnoglossus japonicus,Mar-East,Mar,East,1.066,13.433,-17.3457,14.48,45.81,3.16,3.68,3.07,Wild,Zoobenthivore/Piscivore,Carnivore,Level 1 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Bothidae,,Arnoglossus,Arnoglossus japonicus,
61,Gerres oblongus-Mar-East-1,Gerres oblongus-Mar-East,Gerres oblongus,Mar-East,Mar,East,1.019,15.247,-16.4047,14.84,47.14,3.18,4.21,3.61,Wild,Zoobenthivore,Carnivore,Level 4 consumer,ZB,Carnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Gerreidae,,Gerres,Gerres oblongus,
62,Gerres oblongus-Mar-East-2,Gerres oblongus-Mar-East,Gerres oblongus,Mar-East,Mar,East,1.084,15.026,-16.7037,14.44,46.32,3.21,4.15,3.54,Wild,Zoobenthivore,Carnivore,Level 4 consumer,ZB,Carnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Gerreidae,,Gerres,Gerres oblongus,
63,Gerres oblongus-Mar-East-3,Gerres oblongus-Mar-East,Gerres oblongus,Mar-East,Mar,East,1.043,14.638,-16.8429,14.69,47.19,3.21,4.03,3.43,Wild,Zoobenthivore,Carnivore,Level 4 consumer,ZB,Carnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Gerreidae,,Gerres,Gerres oblongus,
64,Gerres oblongus-Mar-East-4,Gerres oblongus-Mar-East,Gerres oblongus,Mar-East,Mar,East,1.041,14.669,-16.8897,15.11,48.17,3.19,4.04,3.44,Wild,Zoobenthivore,Carnivore,Level 4 consumer,ZB,Carnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Gerreidae,,Gerres,Gerres oblongus,
66,Inegocia japonica-Mar-East-1,Inegocia japonica-Mar-East,Inegocia japonica,Mar-East,Mar,East,1.09,14.661,-16.5187,15,46.84,3.12,4.04,3.43,Wild,Zoobenthivore/Piscivore,Carnivore,Level 2 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Scorpaeniformes,Platycephaloidei,Platycephalidae,,Inegocia,Inegocia japonica,
67,Inegocia japonica-Mar-East-2,Inegocia japonica-Mar-East,Inegocia japonica,Mar-East,Mar,East,1.051,14.048,-16.5449,14.85,46.7,3.14,3.86,3.25,Wild,Zoobenthivore/Piscivore,Carnivore,Level 2 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Scorpaeniformes,Platycephaloidei,Platycephalidae,,Inegocia,Inegocia japonica,
70,Inegocia japonica-Mar-East-3,Inegocia japonica-Mar-East,Inegocia japonica,Mar-East,Mar,East,1.08,14.568,-16.579,15.13,47.48,3.14,4.01,3.41,Wild,Zoobenthivore/Piscivore,Carnivore,Level 2 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Scorpaeniformes,Platycephaloidei,Platycephalidae,,Inegocia,Inegocia japonica,
71,Nematalosa nasus-Mar-East-1,Nematalosa nasus-Mar-East,Nematalosa nasus,Mar-East,Mar,East,1.042,12.27,-18.2854,15.16,46.72,3.08,3.34,2.73,Wild,Herbivore/Omnivore,Omnivore,Level 1 consumer,HV/OV,Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Clupeiformes,Clupeoidei,Clupeidae,,Nematalosa,Nematalosa nasus,
72,Nematalosa nasus-Mar-East-2,Nematalosa nasus-Mar-East,Nematalosa nasus,Mar-East,Mar,East,1.004,12.412,-17.3876,14.43,44.42,3.08,3.38,2.77,Wild,Herbivore/Omnivore,Omnivore,Level 1 consumer,HV/OV,Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Clupeiformes,Clupeoidei,Clupeidae,,Nematalosa,Nematalosa nasus,
73,Nematalosa nasus-Mar-East-3,Nematalosa nasus-Mar-East,Nematalosa nasus,Mar-East,Mar,East,1.073,12.206,-18.1329,15.15,46.99,3.1,3.32,2.71,Wild,Herbivore/Omnivore,Omnivore,Level 1 consumer,HV/OV,Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Clupeiformes,Clupeoidei,Clupeidae,,Nematalosa,Nematalosa nasus,
74,Nematalosa nasus-Mar-East-4,Nematalosa nasus-Mar-East,Nematalosa nasus,Mar-East,Mar,East,1.032,12.778,-17.7659,15.11,47.4,3.14,3.48,2.88,Wild,Herbivore/Omnivore,Omnivore,Level 1 consumer,HV/OV,Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Clupeiformes,Clupeoidei,Clupeidae,,Nematalosa,Nematalosa nasus,
75,Nematalosa nasus-Mar-East-5,Nematalosa nasus-Mar-East,Nematalosa nasus,Mar-East,Mar,East,1.019,12.289,-17.8642,14.92,46.8,3.14,3.34,2.74,Wild,Herbivore/Omnivore,Omnivore,Level 1 consumer,HV/OV,Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Clupeiformes,Clupeoidei,Clupeidae,,Nematalosa,Nematalosa nasus,
77,Nemipterus japonicus-Mar-East-1,Nemipterus japonicus-Mar-East,Nemipterus japonicus,Mar-East,Mar,East,1.042,14.683,-17.6122,14.62,47.48,3.25,4.05,3.44,Wild,Zoobenthivore/Piscivore,Carnivore,Level 3 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Nemipteridae,,Nemipterus,Nemipterus japonicus,
78,Platycephalus indicus-Mar-East-1,Platycephalus indicus-Mar-East,Platycephalus indicus,Mar-East,Mar,East,1.058,13.225,-17.7279,11.22,44.02,3.92,3.62,3.01,Wild,Zoobenthivore/Piscivore,Carnivore,Level 2 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Scorpaeniformes,Platycephaloidei,Platycephalidae,,Platycephalus,Platycephalus indicus,
79,Platycephalus indicus-Mar-East-2,Platycephalus indicus-Mar-East,Platycephalus indicus,Mar-East,Mar,East,1.086,14.916,-16.7265,16.04,49.02,3.06,4.11,3.51,Wild,Zoobenthivore/Piscivore,Carnivore,Level 2 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Scorpaeniformes,Platycephaloidei,Platycephalidae,,Platycephalus,Platycephalus indicus,
82,Platycephalus indicus-Mar-East-3,Platycephalus indicus-Mar-East,Platycephalus indicus,Mar-East,Mar,East,1.068,15.624,-18.0187,15.31,48.71,3.18,4.32,3.72,Wild,Zoobenthivore/Piscivore,Carnivore,Level 2 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Scorpaeniformes,Platycephaloidei,Platycephalidae,,Platycephalus,Platycephalus indicus,
