SampleID,Sample Uni ID,Fish-Time-Site,Fish Species,Time-Site,Time,Site,Mass(g),d15N,d13C,N%,C%,C:N,Trophic level_reference,Trophic level,Fishery,Feeding habit 1,Feeding habit 2,Feeding habit 3,Feeding habit abbr,Feeding habit,Diet_reference,Kingdom,Phylum,Subphylum,Superclass,Class,Order,Suborder,Family,Subfamily,Genus,Species,Subspecies
83,Saurida elongata-Mar-East-1,Saurida elongata-Mar-East,Saurida elongata,Mar-East,Mar,East,1.007,15.081,-16.5468,14,45.67,3.26,4.16,3.56,Wild,Piscivore,Carnivore,Level 4 consumer,PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Aulopiformes,Synodontoidei,Synodontidae,Harpadontinae,Saurida,Saurida elongata,
84,Saurida elongata-Mar-East-2,Saurida elongata-Mar-East,Saurida elongata,Mar-East,Mar,East,1.011,15.278,-16.328,13.92,44.25,3.18,4.22,3.62,Wild,Piscivore,Carnivore,Level 4 consumer,PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Aulopiformes,Synodontoidei,Synodontidae,Harpadontinae,Saurida,Saurida elongata,
85,Saurida elongata-Mar-East-3,Saurida elongata-Mar-East,Saurida elongata,Mar-East,Mar,East,1.051,14.927,-16.8938,14.34,48.61,3.39,4.12,3.51,Wild,Piscivore,Carnivore,Level 4 consumer,PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Aulopiformes,Synodontoidei,Synodontidae,Harpadontinae,Saurida,Saurida elongata,
86,Saurida elongata-Mar-East-4,Saurida elongata-Mar-East,Saurida elongata,Mar-East,Mar,East,1.079,15.107,-16.7186,15.22,49.41,3.25,4.17,3.57,Wild,Piscivore,Carnivore,Level 4 consumer,PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Aulopiformes,Synodontoidei,Synodontidae,Harpadontinae,Saurida,Saurida elongata,
87,Saurida elongata-Mar-East-5,Saurida elongata-Mar-East,Saurida elongata,Mar-East,Mar,East,1.039,14.719,-16.8206,14.84,46.76,3.15,4.06,3.45,Wild,Piscivore,Carnivore,Level 4 consumer,PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Aulopiformes,Synodontoidei,Synodontidae,Harpadontinae,Saurida,Saurida elongata,
88,Siganus canaliculatus-Mar-East-1,Siganus canaliculatus-Mar-East,Siganus canaliculatus,Mar-East,Mar,East,1.022,13.294,-17.1343,15.05,48.32,3.21,3.64,3.03,Wild,Herbivore/Omnivore,Omnivore,Level 3 consumer,HV/OV,Herbivore/Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Acanthuroidei,Siganidae,,Siganus,Siganus canaliculatus,
89,Sillago sihama-Mar-East-1,Sillago sihama-Mar-East,Sillago sihama,Mar-East,Mar,East,1.032,14.198,-16.5792,15.09,47.57,3.15,3.9,3.3,Wild,Zoobenthivore,Carnivore,Level 3 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sillaginidae,,Sillago,Sillago sihama,
90,Sillago sihama-Mar-East-2,Sillago sihama-Mar-East,Sillago sihama,Mar-East,Mar,East,1.007,13.47,-16.9781,15.3,49.13,3.21,3.69,3.08,Wild,Zoobenthivore,Carnivore,Level 3 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sillaginidae,,Sillago,Sillago sihama,
92,Sillago sihama-Mar-East-3,Sillago sihama-Mar-East,Sillago sihama,Mar-East,Mar,East,1.085,13.679,-17.2408,14.53,46.81,3.22,3.75,3.15,Wild,Zoobenthivore,Carnivore,Level 3 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sillaginidae,,Sillago,Sillago sihama,
99,Arnoglossus japonicus-Mar-South-1,Arnoglossus japonicus-Mar-South,Arnoglossus japonicus,Mar-South,Mar,South,1.012,11.23,-17.5441,14.5,47.04,3.24,3.03,2.6,Wild,Zoobenthivore/Piscivore,Carnivore,Level 1 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Bothidae,,Arnoglossus,Arnoglossus japonicus,
101,Arnoglossus japonicus-Mar-South-2,Arnoglossus japonicus-Mar-South,Arnoglossus japonicus,Mar-South,Mar,South,1.086,11.144,-17.1229,14.74,47.12,3.2,3,2.57,Wild,Zoobenthivore/Piscivore,Carnivore,Level 1 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Bothidae,,Arnoglossus,Arnoglossus japonicus,
102,Myersina filifer-Mar-South-1,Myersina filifer-Mar-South,Myersina filifer,Mar-South,Mar,South,1.068,12.532,-16.9393,14.41,45.76,3.18,3.41,2.98,Wild,Zoobenthivore,Carnivore,Level 1 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Gobioidei,Gobiidae,Gobiinae,Myersina,Myersina filifer,
104,Myersina filifer-Mar-South-2,Myersina filifer-Mar-South,Myersina filifer,Mar-South,Mar,South,1.096,12.277,-17.1841,13.76,43.73,3.18,3.34,2.91,Wild,Zoobenthivore,Carnivore,Level 1 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Gobioidei,Gobiidae,Gobiinae,Myersina,Myersina filifer,
105,Cynoglossus arel-Mar-South-1,Cynoglossus arel-Mar-South,Cynoglossus arel,Mar-South,Mar,South,1,11.101,-15.3917,15.05,46.97,3.12,2.99,2.56,Wild,Zoobenthivore,Carnivore,Level 1 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Cynoglossidae,Cynoglossinae,Cynoglossus,Cynoglossus arel,
106,Cynoglossus arel-Mar-South-2,Cynoglossus arel-Mar-South,Cynoglossus arel,Mar-South,Mar,South,1.014,12.438,-16.2069,15,46.51,3.1,3.38,2.95,Wild,Zoobenthivore,Carnivore,Level 1 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Cynoglossidae,Cynoglossinae,Cynoglossus,Cynoglossus arel,
107,Cynoglossus arel-Mar-South-3,Cynoglossus arel-Mar-South,Cynoglossus arel,Mar-South,Mar,South,1.011,12.337,-16.519,14.52,46.29,3.19,3.36,2.92,Wild,Zoobenthivore,Carnivore,Level 1 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Cynoglossidae,Cynoglossinae,Cynoglossus,Cynoglossus arel,
108,Cynoglossus arel-Mar-South-4,Cynoglossus arel-Mar-South,Cynoglossus arel,Mar-South,Mar,South,1.044,10.991,-16.4769,14.08,45.51,3.23,2.96,2.53,Wild,Zoobenthivore,Carnivore,Level 1 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Cynoglossidae,Cynoglossinae,Cynoglossus,Cynoglossus arel,
109,Johnius heterolepis-Mar-South-1,Johnius heterolepis-Mar-South,Johnius heterolepis,Mar-South,Mar,South,1.021,13.5,-18.3917,11.15,53.51,4.8,3.7,3.27,Wild,Zoobenthivore,Carnivore,Level 2 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sciaenidae,,Johnius,Johnius heterolepis,
110,Johnius heterolepis-Mar-South-2,Johnius heterolepis-Mar-South,Johnius heterolepis,Mar-South,Mar,South,1.073,12.69,-17.8885,12.13,53.24,4.39,3.46,3.03,Wild,Zoobenthivore,Carnivore,Level 2 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sciaenidae,,Johnius,Johnius heterolepis,
112,Johnius heterolepis-Mar-South-3,Johnius heterolepis-Mar-South,Johnius heterolepis,Mar-South,Mar,South,1.071,13.35,-16.7286,13.19,47.26,3.58,3.65,3.22,Wild,Zoobenthivore,Carnivore,Level 2 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sciaenidae,,Johnius,Johnius heterolepis,
113,Johnius heterolepis-Mar-South-4,Johnius heterolepis-Mar-South,Johnius heterolepis,Mar-South,Mar,South,0.974,13.522,-19.7549,8.84,60.39,6.83,3.7,3.27,Wild,Zoobenthivore,Carnivore,Level 2 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sciaenidae,,Johnius,Johnius heterolepis,
115,Nemipterus japonicus-Mar-South-1,Nemipterus japonicus-Mar-South,Nemipterus japonicus,Mar-South,Mar,South,1.031,13.404,-17.4595,12.98,47.99,3.7,3.67,3.24,Wild,Zoobenthivore/Piscivore,Carnivore,Level 3 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Nemipteridae,,Nemipterus,Nemipterus japonicus,
117,Nemipterus japonicus-Mar-South-2,Nemipterus japonicus-Mar-South,Nemipterus japonicus,Mar-South,Mar,South,1.074,13.267,-18.2561,12.45,51.68,4.15,3.63,3.2,Wild,Zoobenthivore/Piscivore,Carnivore,Level 3 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Nemipteridae,,Nemipterus,Nemipterus japonicus,
119,Parachaeturichthys polynema-Mar-South-1,Parachaeturichthys polynema-Mar-South,Parachaeturichthys polynema,Mar-South,Mar,South,1.044,12.557,-16.874,14.85,47.08,3.17,3.42,2.99,Wild,Zooplanktivore/Zoobenthivore,Omnivore,Level 2 consumer,ZP/ZB,Zooplanktivore/Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Gobioidei,Gobiidae,Gobiinae,Parachaeturichthys,Parachaeturichthys polynema,
122,Parachaeturichthys polynema-Mar-South-2,Parachaeturichthys polynema-Mar-South,Parachaeturichthys polynema,Mar-South,Mar,South,1.043,12.574,-17.0997,14.68,47.15,3.21,3.42,2.99,Wild,Zooplanktivore/Zoobenthivore,Omnivore,Level 2 consumer,ZP/ZB,Zooplanktivore/Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Gobioidei,Gobiidae,Gobiinae,Parachaeturichthys,Parachaeturichthys polynema,
123,Parachaeturichthys polynema-Mar-South-3,Parachaeturichthys polynema-Mar-South,Parachaeturichthys polynema,Mar-South,Mar,South,1.098,12.889,-17.1617,11.75,37.5,3.19,3.52,3.09,Wild,Zooplanktivore/Zoobenthivore,Omnivore,Level 2 consumer,ZP/ZB,Zooplanktivore/Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Gobioidei,Gobiidae,Gobiinae,Parachaeturichthys,Parachaeturichthys polynema,
124,Pennahia argentata-Mar-South-1,Pennahia argentata-Mar-South,Pennahia argentata,Mar-South,Mar,South,1.086,13.845,-17.9754,12.26,54.48,4.44,3.8,3.37,Wild,Zoobenthivore/Piscivore,Carnivore,Level 3 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sciaenidae,,Pennahia,Pennahia argentata,
125,Pennahia argentata-Mar-South-2,Pennahia argentata-Mar-South,Pennahia argentata,Mar-South,Mar,South,1.017,14.348,-19.4022,9.7,56.01,5.77,3.95,3.52,Wild,Zoobenthivore/Piscivore,Carnivore,Level 3 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sciaenidae,,Pennahia,Pennahia argentata,
127,Pennahia argentata-Mar-South-3,Pennahia argentata-Mar-South,Pennahia argentata,Mar-South,Mar,South,1.035,13.801,-18.8399,10.49,57.32,5.46,3.79,3.35,Wild,Zoobenthivore/Piscivore,Carnivore,Level 3 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sciaenidae,,Pennahia,Pennahia argentata,
128,Pennahia argentata-Mar-South-4,Pennahia argentata-Mar-South,Pennahia argentata,Mar-South,Mar,South,1.068,13.447,-19.6589,9.25,57.11,6.17,3.68,3.25,Wild,Zoobenthivore/Piscivore,Carnivore,Level 3 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sciaenidae,,Pennahia,Pennahia argentata,
129,Pseudorhombus oligodon-Mar-South-1,Pseudorhombus oligodon-Mar-South,Pseudorhombus oligodon,Mar-South,Mar,South,1.099,13.741,-16.5177,14.55,46.97,3.23,3.77,3.34,Wild,Zoobenthivore/Piscivore,Carnivore,Level 4 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Paralichthyidae,,Pseudorhombus,Pseudorhombus oligodon,
130,Pseudorhombus oligodon-Mar-South-2,Pseudorhombus oligodon-Mar-South,Pseudorhombus oligodon,Mar-South,Mar,South,1.086,13.304,-16.4216,14.77,47.94,3.25,3.64,3.21,Wild,Zoobenthivore/Piscivore,Carnivore,Level 4 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Paralichthyidae,,Pseudorhombus,Pseudorhombus oligodon,
131,Solea ovata-Mar-South-1,Solea ovata-Mar-South,Solea ovata,Mar-South,Mar,South,1.079,13.328,-16.076,14.09,46.92,3.33,3.65,3.22,Wild,Zoobenthivore,Carnivore,Level 2 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Soleidae,,Solea,Solea ovata,
132,Solea ovata-Mar-South-2,Solea ovata-Mar-South,Solea ovata,Mar-South,Mar,South,1.024,13.268,-16.7885,14.4,46.74,3.25,3.63,3.2,Wild,Zoobenthivore,Carnivore,Level 2 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Soleidae,,Solea,Solea ovata,
133,Solea ovata-Mar-South-3,Solea ovata-Mar-South,Solea ovata,Mar-South,Mar,South,1.028,13.386,-15.5551,14.12,45.26,3.21,3.66,3.23,Wild,Zoobenthivore,Carnivore,Level 2 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Soleidae,,Solea,Solea ovata,
134,Solea ovata-Mar-South-4,Solea ovata-Mar-South,Solea ovata,Mar-South,Mar,South,1.093,10.288,-21.603,19.15,84.97,4.44,2.75,2.32,Wild,Zoobenthivore,Carnivore,Level 2 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Soleidae,,Solea,Solea ovata,
135,Solea ovata-Mar-South-5,Solea ovata-Mar-South,Solea ovata,Mar-South,Mar,South,1.034,13.881,-16.1228,14.58,47.41,3.25,3.81,3.38,Wild,Zoobenthivore,Carnivore,Level 2 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Soleidae,,Solea,Solea ovata,
136,Collichthys lucidus-Mar-Market-1,Collichthys lucidus-Mar-Market,Collichthys lucidus,Mar-Market,Mar,Market,1.067,13.704,-20.0316,7.51,63.63,8.47,3.76,3.36,Market,Zoobenthivore,Carnivore,Level 2 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sciaenidae,,Collichthys,Collichthys lucidus,
137,Collichthys lucidus-Mar-Market-2,Collichthys lucidus-Mar-Market,Collichthys lucidus,Mar-Market,Mar,Market,1.104,12.907,-21.1969,9.71,59.23,6.1,3.52,3.13,Market,Zoobenthivore,Carnivore,Level 2 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sciaenidae,,Collichthys,Collichthys lucidus,
138,Collichthys lucidus-Mar-Market-3,Collichthys lucidus-Mar-Market,Collichthys lucidus,Mar-Market,Mar,Market,1.058,12.217,-20.7907,9.03,62.41,6.91,3.32,2.92,Market,Zoobenthivore,Carnivore,Level 2 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sciaenidae,,Collichthys,Collichthys lucidus,
141,Inegocia japonica-Mar-Market-1,Inegocia japonica-Mar-Market,Inegocia japonica,Mar-Market,Mar,Market,1.048,13.233,-15.1685,14.3,45.75,3.2,3.62,3.22,Market,Zoobenthivore/Piscivore,Carnivore,Level 2 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Scorpaeniformes,Platycephaloidei,Platycephalidae,,Inegocia,Inegocia japonica,
142,Inegocia japonica-Mar-Market-2,Inegocia japonica-Mar-Market,Inegocia japonica,Mar-Market,Mar,Market,1.061,9.114,-17.4961,14.78,47.72,3.23,2.41,2.01,Market,Zoobenthivore/Piscivore,Carnivore,Level 2 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Scorpaeniformes,Platycephaloidei,Platycephalidae,,Inegocia,Inegocia japonica,
143,Inegocia japonica-Mar-Market-3,Inegocia japonica-Mar-Market,Inegocia japonica,Mar-Market,Mar,Market,1.089,13.243,-15.4494,15.18,48.25,3.18,3.62,3.23,Market,Zoobenthivore/Piscivore,Carnivore,Level 2 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Scorpaeniformes,Platycephaloidei,Platycephalidae,,Inegocia,Inegocia japonica,
144,Inegocia japonica-Mar-Market-4,Inegocia japonica-Mar-Market,Inegocia japonica,Mar-Market,Mar,Market,1.047,16.008,-19.4723,14.88,48.13,3.23,4.43,4.04,Market,Zoobenthivore/Piscivore,Carnivore,Level 2 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Scorpaeniformes,Platycephaloidei,Platycephalidae,,Inegocia,Inegocia japonica,
145,Inegocia japonica-Mar-Market-5,Inegocia japonica-Mar-Market,Inegocia japonica,Mar-Market,Mar,Market,1.041,11.493,-16.5731,15.15,48.5,3.2,3.11,2.71,Market,Zoobenthivore/Piscivore,Carnivore,Level 2 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Scorpaeniformes,Platycephaloidei,Platycephalidae,,Inegocia,Inegocia japonica,
146,Nematalosa nasus-Mar-Market-1,Nematalosa nasus-Mar-Market,Nematalosa nasus,Mar-Market,Mar,Market,1.005,10.787,-16.3366,15.79,43.49,2.75,2.9,2.5,Market,Herbivore/Omnivore,Omnivore,Level 1 consumer,HV/OV,Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Clupeiformes,Clupeoidei,Clupeidae,,Nematalosa,Nematalosa nasus,
147,Nematalosa nasus-Mar-Market-2,Nematalosa nasus-Mar-Market,Nematalosa nasus,Mar-Market,Mar,Market,1.074,11.596,-16.4149,14.3,46.48,3.25,3.14,2.74,Market,Herbivore/Omnivore,Omnivore,Level 1 consumer,HV/OV,Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Clupeiformes,Clupeoidei,Clupeidae,,Nematalosa,Nematalosa nasus,
148,Nematalosa nasus-Mar-Market-3,Nematalosa nasus-Mar-Market,Nematalosa nasus,Mar-Market,Mar,Market,1.031,10.718,-16.3919,14.92,48.15,3.23,2.88,2.48,Market,Herbivore/Omnivore,Omnivore,Level 1 consumer,HV/OV,Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Clupeiformes,Clupeoidei,Clupeidae,,Nematalosa,Nematalosa nasus,
149,Nematalosa nasus-Mar-Market-4,Nematalosa nasus-Mar-Market,Nematalosa nasus,Mar-Market,Mar,Market,1.012,5.864,-21.6223,13.07,51.04,3.91,1.45,1.06,Market,Herbivore/Omnivore,Omnivore,Level 1 consumer,HV/OV,Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Clupeiformes,Clupeoidei,Clupeidae,,Nematalosa,Nematalosa nasus,
150,Nematalosa nasus-Mar-Market-5,Nematalosa nasus-Mar-Market,Nematalosa nasus,Mar-Market,Mar,Market,1.059,11.502,-16.3325,13.83,46.9,3.39,3.11,2.71,Market,Herbivore/Omnivore,Omnivore,Level 1 consumer,HV/OV,Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Clupeiformes,Clupeoidei,Clupeidae,,Nematalosa,Nematalosa nasus,
152,Nemipterus japonicus-Mar-Market-1,Nemipterus japonicus-Mar-Market,Nemipterus japonicus,Mar-Market,Mar,Market,1.02,13.223,-18.3841,12.52,52.87,4.22,3.62,3.22,Market,Zoobenthivore/Piscivore,Carnivore,Level 3 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Nemipteridae,,Nemipterus,Nemipterus japonicus,
153,Nemipterus japonicus-Mar-Market-2,Nemipterus japonicus-Mar-Market,Nemipterus japonicus,Mar-Market,Mar,Market,1.051,13.921,-16.8418,14.07,48.21,3.43,3.82,3.43,Market,Zoobenthivore/Piscivore,Carnivore,Level 3 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Nemipteridae,,Nemipterus,Nemipterus japonicus,
154,Nemipterus japonicus-Mar-Market-3,Nemipterus japonicus-Mar-Market,Nemipterus japonicus,Mar-Market,Mar,Market,1.039,13.86,-16.6951,14.02,50.46,3.6,3.8,3.41,Market,Zoobenthivore/Piscivore,Carnivore,Level 3 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Nemipteridae,,Nemipterus,Nemipterus japonicus,
155,Nemipterus japonicus-Mar-Market-4,Nemipterus japonicus-Mar-Market,Nemipterus japonicus,Mar-Market,Mar,Market,1.015,13.531,-17.7533,12.89,51.03,3.96,3.71,3.31,Market,Zoobenthivore/Piscivore,Carnivore,Level 3 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Nemipteridae,,Nemipterus,Nemipterus japonicus,
157,Platycephalus indicus-Mar-Market-1,Platycephalus indicus-Mar-Market,Platycephalus indicus,Mar-Market,Mar,Market,1.085,10.198,-17.6025,14.97,48.69,3.25,2.73,2.33,Market,Zoobenthivore/Piscivore,Carnivore,Level 2 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Scorpaeniformes,Platycephaloidei,Platycephalidae,,Platycephalus,Platycephalus indicus,
158,Saurida elongata-Mar-Market-1,Saurida elongata-Mar-Market,Saurida elongata,Mar-Market,Mar,Market,1.083,13.547,-17.0715,14.69,48.62,3.31,3.71,3.32,Market,Piscivore,Carnivore,Level 4 consumer,PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Aulopiformes,Synodontoidei,Synodontidae,Harpadontinae,Saurida,Saurida elongata,
160,Saurida elongata-Mar-Market-2,Saurida elongata-Mar-Market,Saurida elongata,Mar-Market,Mar,Market,1.092,13.612,-16.6084,15.1,49.31,3.27,3.73,3.33,Market,Piscivore,Carnivore,Level 4 consumer,PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Aulopiformes,Synodontoidei,Synodontidae,Harpadontinae,Saurida,Saurida elongata,
161,Saurida elongata-Mar-Market-3,Saurida elongata-Mar-Market,Saurida elongata,Mar-Market,Mar,Market,1.068,13.019,-16.6834,15.28,48.27,3.16,3.56,3.16,Market,Piscivore,Carnivore,Level 4 consumer,PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Aulopiformes,Synodontoidei,Synodontidae,Harpadontinae,Saurida,Saurida elongata,
162,Saurida elongata-Mar-Market-4,Saurida elongata-Mar-Market,Saurida elongata,Mar-Market,Mar,Market,1.068,14.672,-16.5407,14.76,46.88,3.18,4.04,3.65,Market,Piscivore,Carnivore,Level 4 consumer,PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Aulopiformes,Synodontoidei,Synodontidae,Harpadontinae,Saurida,Saurida elongata,
