Fish Species,Feeding habit,Taxonomy,Unassigned_sequence_percentage,Species_abbre1,Species_abbre2
Acanthopagrus schlegelii schlegelii,Carnivore,Domain,0,A.s.s,A. s. schlegelii
Arnoglossus japonicus,Carnivore,Domain,0,A.j.,A. japonicus
Collichthys lucidus,Carnivore,Domain,0,C.l.,C. lucidus
Cynoglossus arel,Carnivore,Domain,0,C.a.,C. arel
Gerres oblongus,Carnivore,Domain,0,G.o.,G. oblongus
Inegocia japonica,Carnivore,Domain,0,I.j.,I. japonica
Johnius heterolepis,Carnivore,Domain,0,J.h.,J. heterolepis
Myersina filifer,Carnivore,Domain,0,M.f.,M. filifer
Nematalosa nasus,Omnivore,Domain,0,N.n.,N. nasus
Nemipterus japonicus,Carnivore,Domain,0,N.j.,N. japonicus
Ostorhinchus fasciatus,Carnivore,Domain,0.12627487,O.f.,O. fasciatus
Parachaeturichthys polynema,Zooplanktivore/Omnivore,Domain,0,P.p.,P. polynema
Pennihia argentata,Carnivore,Domain,0,P.a.,P. argentata
Platycephalus indicus,Carnivore,Domain,0,P.i.,P. indicus
Pseudorhombus oligodon,Carnivore,Domain,0,P.o.,P. oligodon
Saurida elongata,Carnivore,Domain,0.01601717,S.e.,S. elongata
Siganus canaliculatus,Herbivore/Omnivore,Domain,0,S.c.,S. canaliculatus
Sillago sihama,Carnivore,Domain,0.011353154,S.s.,S. sihama
Solea ovata,Carnivore,Domain,0,S.o.,S. ovata
Thryssa chefuensis,Zooplanktivore,Domain,0,T.c.,T. chefuensis
Acanthopagrus schlegelii schlegelii,Carnivore,Phylum,0,A.s.s,A. s. schlegelii
Arnoglossus japonicus,Carnivore,Phylum,0.222777714,A.j.,A. japonicus
Collichthys lucidus,Carnivore,Phylum,0.050672151,C.l.,C. lucidus
Cynoglossus arel,Carnivore,Phylum,0.123955868,C.a.,C. arel
Gerres oblongus,Carnivore,Phylum,0.191649981,G.o.,G. oblongus
Inegocia japonica,Carnivore,Phylum,0.036294347,I.j.,I. japonica
Johnius heterolepis,Carnivore,Phylum,1.447276406,J.h.,J. heterolepis
Myersina filifer,Carnivore,Phylum,0.028716378,M.f.,M. filifer
Nematalosa nasus,Omnivore,Phylum,0.236835342,N.n.,N. nasus
Nemipterus japonicus,Carnivore,Phylum,1.228375602,N.j.,N. japonicus
Ostorhinchus fasciatus,Carnivore,Phylum,0.586042278,O.f.,O. fasciatus
Parachaeturichthys polynema,Zooplanktivore/Omnivore,Phylum,0.941365792,P.p.,P. polynema
Pennihia argentata,Carnivore,Phylum,0.611760368,P.a.,P. argentata
Platycephalus indicus,Carnivore,Phylum,0.394743899,P.i.,P. indicus
Pseudorhombus oligodon,Carnivore,Phylum,2.141289546,P.o.,P. oligodon
Saurida elongata,Carnivore,Phylum,0.314735193,S.e.,S. elongata
Siganus canaliculatus,Herbivore/Omnivore,Phylum,0.062455951,S.c.,S. canaliculatus
Sillago sihama,Carnivore,Phylum,1.898453764,S.s.,S. sihama
Solea ovata,Carnivore,Phylum,1.143864075,S.o.,S. ovata
Thryssa chefuensis,Zooplanktivore,Phylum,0.484460695,T.c.,T. chefuensis
Acanthopagrus schlegelii schlegelii,Carnivore,Class,0,A.s.s,A. s. schlegelii
Arnoglossus japonicus,Carnivore,Class,0.854801639,A.j.,A. japonicus
Collichthys lucidus,Carnivore,Class,0.286965986,C.l.,C. lucidus
Cynoglossus arel,Carnivore,Class,0.548907508,C.a.,C. arel
Gerres oblongus,Carnivore,Class,0.96430988,G.o.,G. oblongus
Inegocia japonica,Carnivore,Class,0.070016839,I.j.,I. japonica
Johnius heterolepis,Carnivore,Class,1.747519539,J.h.,J. heterolepis
Myersina filifer,Carnivore,Class,0.171243343,M.f.,M. filifer
Nematalosa nasus,Omnivore,Class,2.496257135,N.n.,N. nasus
Nemipterus japonicus,Carnivore,Class,1.684101989,N.j.,N. japonicus
Ostorhinchus fasciatus,Carnivore,Class,0.884713018,O.f.,O. fasciatus
Parachaeturichthys polynema,Zooplanktivore/Omnivore,Class,1.452507842,P.p.,P. polynema
Pennihia argentata,Carnivore,Class,0.836824751,P.a.,P. argentata
Platycephalus indicus,Carnivore,Class,0.59895552,P.i.,P. indicus
Pseudorhombus oligodon,Carnivore,Class,2.194262295,P.o.,P. oligodon
Saurida elongata,Carnivore,Class,0.559757531,S.e.,S. elongata
Siganus canaliculatus,Herbivore/Omnivore,Class,0.802912331,S.c.,S. canaliculatus
Sillago sihama,Carnivore,Class,2.852608388,S.s.,S. sihama
Solea ovata,Carnivore,Class,2.104147952,S.o.,S. ovata
Thryssa chefuensis,Zooplanktivore,Class,0.484460695,T.c.,T. chefuensis
Acanthopagrus schlegelii schlegelii,Carnivore,Order,2.753441802,A.s.s,A. s. schlegelii
Arnoglossus japonicus,Carnivore,Order,8.850414215,A.j.,A. japonicus
Collichthys lucidus,Carnivore,Order,5.557475342,C.l.,C. lucidus
Cynoglossus arel,Carnivore,Order,11.36575492,C.a.,C. arel
Gerres oblongus,Carnivore,Order,7.381130807,G.o.,G. oblongus
Inegocia japonica,Carnivore,Order,3.080938805,I.j.,I. japonica
Johnius heterolepis,Carnivore,Order,9.868050461,J.h.,J. heterolepis
Myersina filifer,Carnivore,Order,6.153765656,M.f.,M. filifer
Nematalosa nasus,Omnivore,Order,14.21949977,N.n.,N. nasus
Nemipterus japonicus,Carnivore,Order,5.22287894,N.j.,N. japonicus
Ostorhinchus fasciatus,Carnivore,Order,8.050667817,O.f.,O. fasciatus
Parachaeturichthys polynema,Zooplanktivore/Omnivore,Order,15.12634354,P.p.,P. polynema
Pennihia argentata,Carnivore,Order,5.878029972,P.a.,P. argentata
Platycephalus indicus,Carnivore,Order,4.451110341,P.i.,P. indicus
Pseudorhombus oligodon,Carnivore,Order,4.428837606,P.o.,P. oligodon
Saurida elongata,Carnivore,Order,4.425645479,S.e.,S. elongata
Siganus canaliculatus,Herbivore/Omnivore,Order,3.040202475,S.c.,S. canaliculatus
Sillago sihama,Carnivore,Order,12.78872855,S.s.,S. sihama
Solea ovata,Carnivore,Order,16.66177289,S.o.,S. ovata
Thryssa chefuensis,Zooplanktivore,Order,3.244972578,T.c.,T. chefuensis
Acanthopagrus schlegelii schlegelii,Carnivore,Family,4.221185573,A.s.s,A. s. schlegelii
Arnoglossus japonicus,Carnivore,Family,27.03203661,A.j.,A. japonicus
Collichthys lucidus,Carnivore,Family,18.31886624,C.l.,C. lucidus
Cynoglossus arel,Carnivore,Family,36.58601071,C.a.,C. arel
Gerres oblongus,Carnivore,Family,18.36922749,G.o.,G. oblongus
Inegocia japonica,Carnivore,Family,7.390658063,I.j.,I. japonica
Johnius heterolepis,Carnivore,Family,22.42411372,J.h.,J. heterolepis
Myersina filifer,Carnivore,Family,8.755942203,M.f.,M. filifer
Nematalosa nasus,Omnivore,Family,37.5846568,N.n.,N. nasus
Nemipterus japonicus,Carnivore,Family,17.95409374,N.j.,N. japonicus
Ostorhinchus fasciatus,Carnivore,Family,21.09946187,O.f.,O. fasciatus
Parachaeturichthys polynema,Zooplanktivore/Omnivore,Family,53.00327273,P.p.,P. polynema
Pennihia argentata,Carnivore,Family,25.26800137,P.a.,P. argentata
Platycephalus indicus,Carnivore,Family,8.123430721,P.i.,P. indicus
Pseudorhombus oligodon,Carnivore,Family,9.982248377,P.o.,P. oligodon
Saurida elongata,Carnivore,Family,12.99483463,S.e.,S. elongata
Siganus canaliculatus,Herbivore/Omnivore,Family,15.09452312,S.c.,S. canaliculatus
Sillago sihama,Carnivore,Family,29.6320909,S.s.,S. sihama
Solea ovata,Carnivore,Family,52.7856786,S.o.,S. ovata
Thryssa chefuensis,Zooplanktivore,Family,9.542961609,T.c.,T. chefuensis
Acanthopagrus schlegelii schlegelii,Carnivore,Genus,8.010012516,A.s.s,A. s. schlegelii
Arnoglossus japonicus,Carnivore,Genus,51.2862804,A.j.,A. japonicus
Collichthys lucidus,Carnivore,Genus,33.91000957,C.l.,C. lucidus
Cynoglossus arel,Carnivore,Genus,54.76902793,C.a.,C. arel
Gerres oblongus,Carnivore,Genus,37.04189138,G.o.,G. oblongus
Inegocia japonica,Carnivore,Genus,19.31543205,I.j.,I. japonica
Johnius heterolepis,Carnivore,Genus,33.14680347,J.h.,J. heterolepis
Myersina filifer,Carnivore,Genus,53.91268466,M.f.,M. filifer
Nematalosa nasus,Omnivore,Genus,73.15367692,N.n.,N. nasus
Nemipterus japonicus,Carnivore,Genus,28.68675471,N.j.,N. japonicus
Ostorhinchus fasciatus,Carnivore,Genus,48.62765297,O.f.,O. fasciatus
Parachaeturichthys polynema,Zooplanktivore/Omnivore,Genus,75.35688165,P.p.,P. polynema
Pennihia argentata,Carnivore,Genus,46.41611948,P.a.,P. argentata
Platycephalus indicus,Carnivore,Genus,19.46156123,P.i.,P. indicus
Pseudorhombus oligodon,Carnivore,Genus,19.56425625,P.o.,P. oligodon
Saurida elongata,Carnivore,Genus,25.697257,S.e.,S. elongata
Siganus canaliculatus,Herbivore/Omnivore,Genus,78.07335613,S.c.,S. canaliculatus
Sillago sihama,Carnivore,Genus,51.25127974,S.s.,S. sihama
Solea ovata,Carnivore,Genus,76.83457739,S.o.,S. ovata
Thryssa chefuensis,Zooplanktivore,Genus,26.70932358,T.c.,T. chefuensis
